IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
000442,Manchester Local,Adams," $10,865,111 "," $4,372,077 ",40.24%," $11,144,580 "," $5,166,670 ",46.36%," $12,574,415 "," $4,943,390 ",39.31%,"$13,000,562","$4,678,901",36.0%,"$12,980,837","$4,647,320",35.8%,39.5%,1
043489,Akron City,Summit," $299,097,332 "," $22,700,947 ",7.59%," $290,152,683 "," $13,609,025 ",4.69%," $299,934,191 "," $23,285,121 ",7.76%,"$312,078,865","$34,806,656",11.2%,"$320,908,322","$47,907,093",14.9%,9.2%,8
043497,Alliance City,Stark," $26,933,504 "," $5,468,538 ",20.30%," $27,725,503 "," $5,127,283 ",18.49%," $29,048,667 "," $4,447,435 ",15.31%,"$29,601,911","$5,408,692",18.3%,"$30,759,650","$6,690,259",21.8%,18.8%,7
043505,Ashland City,Ashland," $32,607,399 "," $5,649,933 ",17.33%," $30,413,751 "," $4,539,994 ",14.93%," $29,636,714 "," $5,134,974 ",17.33%,"$30,454,411","$7,219,757",23.7%,"$32,323,460","$10,324,770",31.9%,21.0%,4
043513,Ashtabula Area City,Ashtabula," $36,716,025 "," $605,035 ",1.65%," $33,885,219 "," $1,696,227 ",5.01%," $33,604,791 "," $3,891,421 ",11.58%,"$34,773,166","$7,658,753",22.0%,"$37,047,883","$10,566,424",28.5%,13.8%,4
043521,Athens City,Athens," $30,261,013 "," $8,263,919 ",27.31%," $30,045,651 "," $7,653,620 ",25.47%," $30,704,406 "," $7,221,602 ",23.52%,"$30,589,221","$7,259,723",23.7%,"$30,426,791","$8,012,320",26.3%,25.3%,5
043539,Barberton City,Summit," $38,610,360 "," $5,097,516 ",13.20%," $36,935,900 "," $4,756,254 ",12.88%," $37,010,987 "," $7,813,991 ",21.11%,"$39,334,300","$12,107,521",30.8%,"$41,264,591","$17,425,559",42.2%,24.0%,7
043547,Bay Village City,Cuyahoga," $27,915,808 "," $8,612,204 ",30.85%," $29,346,748 "," $9,518,449 ",32.43%," $29,737,406 "," $10,523,773 ",35.39%,"$30,759,230","$12,079,037",39.3%,"$31,507,700","$12,445,424",39.5%,35.5%,6
043554,Beachwood City,Cuyahoga," $30,399,325 "," $15,492,143 ",50.96%," $31,489,915 "," $18,917,642 ",60.08%," $31,908,293 "," $22,357,639 ",70.07%,"$34,964,141","$19,162,973",54.8%,"$31,798,459","$19,612,414",61.7%,59.5%,6
043562,Bedford City,Cuyahoga," $46,014,927 "," $19,113,242 ",41.54%," $47,451,480 ", $-   ,0.00%," $48,091,372 ", $-   ,0.00%,"$48,579,321",$0,0.0%,"$50,396,975","$14,966,627",29.7%,14.2%,7
043570,Bellaire Local,Belmont," $14,443,167 "," $(171,469)",-1.19%," $12,067,102 "," $382,385 ",3.17%," $12,104,382 "," $1,974,991 ",16.32%,"$11,662,740","$3,027,597",26.0%,"$12,807,088","$4,162,562",32.5%,15.4%,4
043588,Bellefontaine City,Logan," $22,188,870 "," $7,439,037 ",33.53%," $21,565,605 "," $7,422,784 ",34.42%," $21,989,234 "," $8,299,815 ",37.74%,"$22,328,127","$10,070,234",45.1%,"$23,727,645","$10,291,333",43.4%,38.8%,4
043596,Bellevue City,Huron," $18,603,652 "," $5,060,856 ",27.20%," $18,617,226 "," $5,406,476 ",29.04%," $18,355,547 "," $6,983,205 ",38.04%,"$19,336,336","$7,837,815",40.5%,"$20,332,608","$8,087,208",39.8%,34.9%,1
043604,Belpre City,Washington," $9,446,651 "," $1,594,576 ",16.88%," $9,506,729 "," $1,387,367 ",14.59%," $9,571,173 "," $1,805,743 ",18.87%,"$9,843,418","$2,304,567",23.4%,"$10,653,838","$2,127,138",20.0%,18.7%,4
043612,Berea City,Cuyahoga," $83,749,433 "," $10,301,524 ",12.30%," $86,587,117 "," $2,221,729 ",2.57%," $79,906,929 "," $2,308,172 ",2.89%,"$77,303,065","$8,252,428",10.7%,"$76,379,982","$14,270,366",18.7%,9.4%,7
043620,Bexley City,Franklin," $31,039,778 "," $19,166,171 ",61.75%," $31,788,511 "," $21,029,924 ",66.16%," $32,286,553 "," $23,011,300 ",71.27%,"$33,265,661","$26,532,387",79.8%,"$34,567,677","$24,358,704",70.5%,69.9%,6
043638,Bowling Green City School District,Wood," $30,838,419 "," $6,134,167 ",19.89%," $29,575,756 "," $5,320,157 ",17.99%," $28,897,946 "," $6,756,619 ",23.38%,"$28,899,100","$9,761,915",33.8%,"$28,307,482","$13,272,530",46.9%,28.4%,5
043646,Brecksville-Broadview Heights City,Cuyahoga," $46,576,119 "," $10,908,542 ",23.42%," $45,957,579 "," $10,256,825 ",22.32%," $45,911,914 "," $9,550,469 ",20.80%,"$45,401,807","$10,103,700",22.3%,"$44,670,804","$10,647,641",23.8%,22.5%,6
043653,Brooklyn City,Cuyahoga," $15,207,920 "," $4,211,819 ",27.69%," $15,249,484 "," $2,564,809 ",16.82%," $16,206,432 "," $2,379,263 ",14.68%,"$16,736,257","$2,995,180",17.9%,"$16,960,654","$2,537,852",15.0%,18.4%,7
043661,Brunswick City,Medina," $66,232,255 "," $7,902,523 ",11.93%," $65,042,118 "," $4,080,693 ",6.27%," $66,170,955 "," $2,199,975 ",3.32%,"$64,829,050","$4,686,094",7.2%,"$65,671,814","$7,833,538",11.9%,8.1%,5
043679,Bryan City,Williams," $18,297,702 "," $9,938,528 ",54.32%," $18,625,315 "," $9,689,297 ",52.02%," $18,346,411 "," $10,331,596 ",56.31%,"$19,143,195","$11,011,904",57.5%,"$19,150,986","$12,103,723",63.2%,56.7%,4
