IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,
050773,Apollo,Allen," $9,359,339 "," $5,394,648 ",57.64%," $9,459,795 "," $6,054,236 ",64.00%," $9,902,813 "," $6,376,157 ",64.39%,"$10,061,502","$6,757,923",67.2%,"$9,811,054","$7,834,966",79.9%,66.6%,
050799,Southern Hills,Brown," $4,840,963 "," $3,056,323 ",63.13%," $4,775,489 "," $3,564,988 ",74.65%," $4,873,252 "," $3,998,653 ",82.05%,"$4,928,818","$4,418,023",89.6%,"$5,468,562","$4,786,612",87.5%,79.4%,
050815,Ashtabula County Technical and Career Center,Ashtabula," $10,737,638 "," $5,200,421 ",48.43%," $10,082,498 "," $4,942,412 ",49.02%," $9,696,865 "," $4,910,615 ",50.64%,"$9,126,261","$5,536,844",60.7%,"$9,374,544","$5,760,279",61.4%,54.0%,
050856,Belmont-Harrison,Belmont," $5,914,041 "," $1,235,707 ",20.89%," $5,898,557 "," $1,758,666 ",29.82%," $6,079,306 "," $2,269,315 ",37.33%,"$5,981,969","$2,987,717",49.9%,"$6,643,668","$3,534,793",53.2%,38.2%,
050880,Butler Technology & Career Development Schools,Butler," $39,545,891 "," $14,243,791 ",36.02%," $38,200,416 "," $16,891,263 ",44.22%," $43,682,571 "," $13,212,804 ",30.25%,"$40,925,747","$12,208,168",29.8%,"$38,396,008","$16,082,790",41.9%,36.4%,
050906,Columbiana County,Columbiana," $6,761,005 "," $3,439,760 ",50.88%," $6,100,823 "," $3,546,893 ",58.14%," $6,385,449 "," $3,296,460 ",51.62%,"$5,995,617","$3,415,730",57.0%,"$6,568,753","$3,324,307",50.6%,53.6%,
050922,Cuyahoga Valley Career Center,Cuyahoga," $16,186,832 "," $12,535,473 ",77.44%," $14,160,648 "," $12,263,015 ",86.60%," $13,014,276 "," $13,386,795 ",102.86%,"$14,181,170","$13,706,895",96.7%,"$12,865,100","$15,259,488",118.6%,96.4%,
050948,Polaris,Cuyahoga," $14,136,088 "," $9,227,599 ",65.28%," $14,169,186 "," $8,601,452 ",60.71%," $13,599,758 "," $8,697,460 ",63.95%,"$13,577,169","$8,766,174",64.6%,"$13,249,849","$9,234,476",69.7%,64.8%,
050963,Four County Career Center,Henry," $15,456,345 "," $7,253,513 ",46.93%," $15,422,512 "," $6,122,232 ",39.70%," $14,892,954 "," $6,084,063 ",40.85%,"$15,206,300","$5,787,753",38.1%,"$14,987,371","$7,554,812",50.4%,43.2%,
050989,Delaware Area Career Center,Delaware," $12,601,362 "," $19,791,562 ",157.06%," $12,973,442 "," $21,546,873 ",166.08%," $12,898,613 "," $23,907,578 ",185.35%,"$12,418,242","$27,146,742",218.6%,"$12,058,762","$31,436,005",260.7%,197.6%,
